id,Station,s,x,y,"Attempts or threats to murder, assaults, harassments and related offences 2010","Attempts or threats to murder, assaults, harassments and related offences 2011","Attempts or threats to murder, assaults, harassments and related offences 2012","Attempts or threats to murder, assaults, harassments and related offences 2013","Attempts or threats to murder, assaults, harassments and related offences 2014","Attempts or threats to murder, assaults, harassments and related offences 2015",Dangerous or negligent acts 2010,Dangerous or negligent acts 2011,Dangerous or negligent acts 2012,Dangerous or negligent acts 2013,Dangerous or negligent acts 2014,Dangerous or negligent acts 2015,Kidnapping and related offences 2010,Kidnapping and related offences 2011,Kidnapping and related offences 2012,Kidnapping and related offences 2013,Kidnapping and related offences 2014,Kidnapping and related offences 2015,"Robbery, extortion and hijacking offences 2010","Robbery, extortion and hijacking offences 2011","Robbery, extortion and hijacking offences 2012","Robbery, extortion and hijacking offences 2013","Robbery, extortion and hijacking offences 2014","Robbery, extortion and hijacking offences 2015",Burglary and related offences 2010,Burglary and related offences 2011,Burglary and related offences 2012,Burglary and related offences 2013,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2010,Theft and related offences 2011,Theft and related offences 2012,Theft and related offences 2013,Theft and related offences 2014,Theft and related offences 2015,"Fraud, deception and related offences 2010","Fraud, deception and related offences 2011","Fraud, deception and related offences 2012","Fraud, deception and related offences 2013","Fraud, deception and related offences 2014","Fraud, deception and related offences 2015",Controlled drug offences 2010,Controlled drug offences 2011,Controlled drug offences 2012,Controlled drug offences 2013,Controlled drug offences 2014,Controlled drug offences 2015,Weapons and Explosives Offences 2010,Weapons and Explosives Offences 2011,Weapons and Explosives Offences 2012,Weapons and Explosives Offences 2013,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2010,Damage to property and to the environment 2011,Damage to property and to the environment 2012,Damage to property and to the environment 2013,Damage to property and to the environment 2014,Damage to property and to the environment 2015,Public order and other social code offences 2010,Public order and other social code offences 2011,Public order and other social code offences 2012,Public order and other social code offences 2013,Public order and other social code offences 2014,Public order and other social code offences 2015,"Offences against government, justice procedures and organisation of crime 2010","Offences against government, justice procedures and organisation of crime 2011","Offences against government, justice procedures and organisation of crime 2012","Offences against government, justice procedures and organisation of crime 2013","Offences against government, justice procedures and organisation of crime 2014","Offences against government, justice procedures and organisation of crime 2015"
20590,Louisburgh, Mayo ,80849,280944,2,3,4,5,4,4,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,11,3,2,1,4,10,8,16,18,4,5,0,0,1,1,0,0,2,1,2,1,1,3,0,1,1,0,0,0,9,8,9,8,4,3,3,0,0,2,3,3,0,0,0,0,0,1
20587,Newport, Mayo ,98357,294512,3,1,6,4,5,2,5,8,4,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,7,6,11,8,5,7,15,24,18,17,12,15,1,1,2,1,1,1,5,2,0,3,2,3,3,2,1,0,2,0,14,13,15,7,7,1,10,9,6,3,5,6,0,0,0,1,2,1
20555,Partry, Mayo ,115533,272850,7,4,5,0,4,1,5,3,8,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,11,10,18,3,5,6,21,18,24,16,9,2,2,0,0,0,0,1,1,0,2,0,0,0,3,1,0,0,0,0,5,7,9,5,3,0,2,5,2,0,3,2,1,0,1,0,0,0
20578,Shrule, Mayo ,127908,252736,0,3,5,2,2,7,6,2,4,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,3,3,4,0,8,5,4,8,8,3,6,6,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,3,6,6,8,4,4,5,1,1,3,0,1,0,0,0,0
20580,Swinford, Mayo ,137517,299441,19,28,22,15,15,11,4,8,8,4,5,7,0,0,0,0,4,0,0,0,0,0,0,0,10,18,15,15,12,6,36,36,39,35,36,21,4,7,1,2,2,0,3,5,4,2,4,1,2,3,0,0,2,0,18,32,16,26,17,15,65,55,35,28,23,24,8,4,0,0,0,2
20586,Westport, Mayo ,99932,284334,62,88,61,68,51,51,42,23,26,24,25,19,0,0,0,0,0,0,0,1,2,3,1,0,44,61,81,62,54,80,78,107,120,103,88,102,12,9,8,9,8,5,24,18,17,23,18,24,4,3,1,3,3,11,82,122,78,57,48,57,269,261,218,159,171,211,3,3,9,8,4,3
2077,Ashbourne, Meath ,306394,252439,70,38,61,65,59,56,62,49,35,37,21,35,1,1,0,0,1,0,4,9,7,8,9,8,102,121,141,120,118,104,394,466,344,353,318,311,24,35,29,27,33,33,47,52,51,12,15,42,16,7,10,3,3,2,136,93,113,71,86,48,129,103,119,105,88,83,5,11,11,7,14,17
2060,Baile Atha Bui, Meath ,271783,264284,30,30,9,13,17,16,6,7,6,10,6,5,0,0,0,0,0,0,0,1,0,1,2,1,9,41,34,36,23,35,54,71,42,40,47,51,2,2,3,3,2,5,13,6,5,6,10,11,1,3,1,1,1,3,49,23,22,35,36,14,25,23,27,21,21,17,3,1,0,0,3,1
2061,Ballivor, Meath ,268536,254113,12,15,18,8,6,7,0,1,4,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,17,21,26,14,11,15,35,24,22,29,14,22,2,1,2,2,0,0,5,0,6,5,4,1,1,3,4,3,0,0,22,14,16,5,8,11,15,10,10,7,13,8,2,0,0,0,3,5
2081,Duleek, Meath ,304644,268266,14,15,15,11,11,22,12,13,12,8,7,7,0,0,0,0,0,0,3,0,2,1,5,4,57,91,86,84,54,46,122,124,105,71,82,67,5,4,4,3,4,14,8,6,5,6,7,3,1,4,4,0,2,0,75,54,39,37,35,31,29,20,11,13,12,13,2,3,4,1,2,1
2065,Dunboyne, Meath ,301292,242275,41,31,56,46,39,36,24,29,29,14,13,18,0,0,0,0,0,0,4,8,7,5,3,10,83,85,132,93,61,65,182,188,229,228,220,176,11,16,11,5,15,10,25,27,22,10,11,5,6,5,4,3,1,4,75,67,87,44,48,38,56,53,53,42,29,23,4,4,3,3,1,3
2067,Dunshaughlin, Meath ,296955,252168,19,17,29,21,38,25,19,16,25,24,13,12,0,0,0,0,0,0,2,1,3,4,2,1,54,85,91,45,55,52,124,154,111,100,107,87,4,9,12,6,6,7,18,8,4,6,3,2,2,3,0,1,2,0,35,49,35,27,36,13,27,18,20,26,21,22,30,1,2,3,1,3
2071,Enfield, Meath ,277589,241162.01,13,10,4,7,3,7,3,11,6,4,8,3,0,0,0,0,0,0,3,3,1,1,1,1,19,33,33,23,17,11,58,48,44,50,25,27,4,2,7,0,2,2,6,3,1,0,1,4,0,2,0,0,3,0,8,19,15,22,11,8,15,6,12,8,11,5,2,0,0,1,0,1
2058,Kells Ceanannus Mor, Meath ,273892,275980.01,86,83,71,50,33,43,33,33,28,28,21,24,2,0,0,0,0,0,1,3,1,3,0,1,64,95,64,55,76,51,169,135,145,125,164,119,14,9,13,9,8,8,31,13,28,11,13,15,11,2,2,4,4,7,114,88,75,65,57,47,124,108,118,60,43,45,9,25,15,20,9,7
2051,Laytown, Meath ,316055,272468,53,41,38,42,62,73,54,40,20,12,22,14,0,1,1,1,0,0,6,8,10,9,8,3,120,153,166,173,132,116,423,383,336,313,372,286,17,13,14,12,15,11,53,40,47,22,23,14,8,4,10,7,4,2,193,170,147,133,102,82,91,63,47,36,54,42,1,4,0,3,1,4
2068,Longwood, Meath ,271333,245457,10,9,8,5,5,10,4,5,3,3,1,2,0,0,0,0,0,0,1,1,0,2,0,0,25,37,30,18,21,5,35,38,39,32,21,33,1,2,0,0,0,0,2,3,0,3,0,5,0,0,0,1,1,1,24,12,17,12,10,7,5,2,7,5,2,5,1,0,1,1,3,1
2078,Navan, Meath ,286636,267972,72,69,76,92,89,124,119,85,57,92,79,89,1,0,1,1,2,1,19,21,16,10,19,20,154,195,196,239,230,210,500,498,522,676,757,638,24,26,28,23,26,36,75,81,84,88,95,96,14,34,19,16,25,19,202,162,168,185,223,216,347,301,309,299,292,283,82,105,91,66,120,128
2063,Nobber, Meath ,282592,286429,10,19,6,4,9,11,5,10,6,6,9,2,0,0,0,0,0,0,1,1,0,0,1,0,27,68,28,30,29,34,49,52,41,35,30,35,5,1,1,0,3,1,10,4,3,7,4,1,2,0,1,0,0,1,31,19,12,8,6,14,11,10,5,5,4,14,0,0,1,3,3,1
2062,Oldcastle, Meath ,255311,280274,28,19,11,10,12,10,11,9,3,5,8,3,0,0,0,0,0,0,2,1,0,1,0,0,30,40,21,16,14,15,58,50,33,19,47,24,4,5,2,1,3,1,7,3,5,2,5,1,1,0,1,4,1,0,32,20,15,11,6,11,15,20,23,13,14,7,1,2,0,1,1,1
2082,Slane, Meath ,295959,274295,4,4,0,14,10,14,6,5,2,2,7,3,0,0,0,0,0,0,0,0,1,1,0,1,38,30,32,33,31,36,75,46,51,57,33,49,1,0,1,4,1,1,14,8,14,47,8,9,1,1,0,0,1,0,16,33,9,12,15,9,9,23,2,36,5,17,3,0,0,0,0,1
2070,Summerhill, Meath ,284134,248716,11,4,2,5,1,5,9,9,7,4,1,8,0,0,0,0,0,0,2,1,0,3,0,0,12,25,48,17,13,20,35,36,26,19,30,19,2,2,4,0,2,1,3,4,3,1,3,4,1,1,0,0,1,0,12,15,15,7,6,10,7,11,12,2,11,4,0,1,0,1,4,2
2064,Trim, Meath ,280291,256571,41,29,36,19,20,38,53,19,35,26,15,17,0,0,0,0,0,0,7,4,3,1,4,2,53,102,106,63,65,64,156,177,125,109,173,117,15,23,17,9,9,13,41,22,21,12,14,24,10,12,5,2,3,6,101,72,65,35,44,44,123,95,102,70,52,47,24,30,30,14,20,32
20670,Ballybay, Monaghan ,271646,320536,24,17,17,8,3,13,28,24,15,11,3,10,0,0,0,0,0,0,0,1,0,1,0,0,16,29,13,11,6,4,50,38,41,19,18,15,3,4,4,2,3,0,2,9,1,3,0,3,2,0,0,1,2,0,22,12,18,10,9,10,32,24,27,19,19,16,9,15,5,0,3,0
20669,Carrickmacross, Monaghan ,284115,303725,57,49,45,41,41,48,57,43,53,35,30,33,0,0,0,1,1,0,0,3,2,0,2,1,46,68,48,35,38,35,111,90,83,68,101,84,13,12,19,6,8,7,54,46,32,14,15,17,8,3,1,4,2,2,91,60,91,86,68,73,168,199,162,139,148,100,21,18,14,16,16,19
20671,Castleblayney, Monaghan ,282766,319488,42,38,60,50,38,43,53,39,31,39,55,52,0,2,0,1,0,2,2,2,7,2,0,2,50,23,42,27,31,17,127,86,77,77,63,50,17,11,8,3,10,9,28,16,12,8,6,26,6,3,2,4,5,4,76,83,98,78,71,58,133,124,130,128,161,161,10,7,5,6,4,6
20663,Clones, Monaghan ,250449,325661,46,28,29,14,17,22,20,14,15,17,6,8,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,10,4,6,24,26,27,23,38,34,0,5,2,0,2,2,7,5,3,2,4,0,3,1,1,1,1,2,24,12,22,12,11,9,41,22,22,10,6,13,5,2,3,3,1,4
20667,Emyvale, Monaghan ,267849,343905,17,10,9,11,5,6,13,9,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,13,4,8,48,35,50,29,25,25,2,1,4,3,2,0,5,5,2,3,1,2,0,0,1,2,1,0,13,17,8,12,7,10,5,10,9,15,12,11,2,2,2,2,1,1
20662,Monaghan, Monaghan ,267347,334101,170,144,103,65,86,89,96,86,67,59,59,49,0,0,0,0,1,0,2,1,2,2,1,1,42,40,48,49,40,25,209,267,205,180,186,183,33,28,17,25,16,17,75,38,58,72,47,31,6,8,3,5,5,7,148,143,96,70,90,112,376,350,216,224,222,166,48,36,21,18,29,46
20674,Rockcorry, Monaghan ,264824,319458,7,0,2,1,1,2,4,2,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,0,4,4,6,7,8,5,11,3,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,0,2,1,1,5,2,1,2,1,4,4,1,7,0,1,0,0,1,1,0,0
20666,Scotstown, Monaghan ,261040,337231,22,16,10,3,10,9,5,11,4,3,1,4,0,0,0,0,0,0,0,1,0,0,0,0,3,2,2,4,7,0,12,9,5,12,3,10,0,0,1,0,2,1,5,2,0,1,0,1,2,3,0,0,0,0,19,18,9,4,7,7,8,11,1,2,1,4,3,2,0,4,0,4
20126,Banagher, Offaly ,200990,215534,9,11,5,4,4,4,7,3,3,6,4,6,0,0,0,0,0,0,1,0,0,0,1,0,6,12,10,6,6,8,22,35,22,19,19,11,2,0,3,3,0,0,1,2,2,4,2,1,2,0,4,2,0,1,8,10,4,8,6,2,17,12,10,6,4,4,1,0,1,1,0,1
20125,Birr, Offaly ,205977,205022,46,30,34,43,37,35,28,13,14,9,11,14,0,0,0,0,0,0,4,1,3,2,4,1,34,52,49,55,53,58,108,81,128,118,119,105,13,16,5,4,4,10,33,19,13,12,7,10,14,6,6,11,2,5,71,61,69,57,51,85,69,77,69,62,68,55,9,6,8,8,8,3
20135,Clara, Offaly ,225751,232841,26,13,30,8,8,19,11,10,6,9,6,8,0,0,0,0,0,0,1,1,0,0,0,1,23,36,44,30,25,19,50,31,35,58,28,106,8,5,1,2,4,3,11,11,8,15,13,14,5,7,4,4,4,5,46,26,43,27,20,19,53,25,18,9,7,1,0,0,3,1,2,1
20127,Cloghan, Offaly ,208230,219360,16,8,10,4,3,9,1,5,3,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,8,8,10,6,5,12,17,21,16,14,4,10,1,2,3,2,1,0,1,0,2,0,0,3,3,1,1,2,0,0,5,5,5,8,6,8,11,16,9,4,1,2,1,1,0,0,0,2
20136,Clonbologue, Offaly ,261062,223560,3,1,3,3,2,5,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,8,17,18,12,15,10,10,16,16,16,6,13,0,0,1,0,1,0,1,1,2,0,1,2,0,0,0,0,0,1,6,19,10,1,4,4,1,9,0,0,2,0,0,0,2,0,0,2
20137,Daingean, Offaly ,247157,227166,7,9,13,8,9,7,5,7,4,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,15,24,17,14,17,21,20,26,15,25,32,21,2,1,3,2,0,0,4,1,5,1,2,1,1,5,0,0,1,0,13,11,5,9,9,2,11,12,6,7,2,0,1,0,0,2,1,3
20138,Edenderry, Offaly ,262613,232228,38,42,37,36,27,42,16,13,15,8,3,5,0,0,0,2,0,0,5,3,4,3,0,1,68,92,55,72,96,51,103,103,62,88,123,87,3,5,10,4,11,12,36,31,8,7,7,13,8,8,5,6,5,9,93,89,52,37,62,48,54,65,48,29,26,28,8,7,11,5,3,4
20128,Ferbane, Offaly ,211550,224476,8,7,2,11,12,11,2,9,5,4,5,3,0,2,0,0,0,0,0,0,0,0,0,0,9,23,14,14,15,26,40,29,25,30,19,34,0,0,1,1,1,2,3,0,2,7,2,2,4,0,0,2,0,0,18,17,5,18,10,5,14,16,10,13,10,6,0,0,0,3,1,2
20129,Kilcormac, Offaly ,218181,213971,12,8,5,6,2,3,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,13,7,8,15,9,21,16,11,24,26,13,1,1,0,0,1,1,3,0,1,3,0,0,2,2,0,1,0,0,11,11,19,11,7,10,9,12,11,3,4,4,0,1,1,0,0,0
20130,Kinnitty, Offaly ,218662,205318,4,0,2,0,1,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,6,7,10,9,10,8,18,16,7,13,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,4,11,2,0,4,3,1,3,1,1,0,0,0,0,0,0,0
20139,Rhode, Offaly ,253668,233706,9,3,7,4,4,7,1,3,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,21,26,11,7,14,27,16,16,26,11,16,12,0,2,0,0,1,0,4,2,0,0,1,2,1,1,0,0,0,0,18,9,5,4,4,4,4,7,6,5,4,7,1,0,0,1,1,1
20131,Shinrone, Offaly ,204473,192626,1,3,1,4,3,13,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,13,2,5,10,6,15,7,7,11,8,15,2,0,3,2,0,1,1,1,2,1,0,0,1,0,2,0,1,0,9,13,4,14,5,8,5,4,4,3,0,3,0,0,0,0,0,0
20134,Tullamore, Offaly ,233744,225171,92,100,105,108,80,81,84,74,63,47,34,39,0,0,0,0,0,0,4,3,6,9,5,1,129,142,132,178,133,134,318,312,315,413,419,358,42,35,27,32,32,34,69,86,86,69,80,87,18,14,19,19,12,2,199,150,155,180,160,128,401,365,316,256,184,144,63,69,57,32,58,61
20515,Athleague, Roscommon,183329,257652,3,3,3,1,1,1,2,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,10,5,9,2,2,4,14,11,8,5,4,9,0,1,10,1,0,1,2,2,4,2,0,0,0,0,0,0,0,0,2,2,9,4,0,1,1,5,5,0,5,1,0,0,0,2,0,1
20538,Ballaghderreen, Roscommon,161621,294647,34,30,23,35,22,16,14,16,11,5,4,8,0,0,0,0,0,1,0,0,0,0,0,0,21,30,64,22,48,25,51,59,82,42,40,53,7,13,5,5,18,7,6,7,13,13,7,11,6,5,4,1,4,2,30,21,43,33,29,27,108,67,54,56,56,32,5,3,4,9,7,7
20539,Ballinlough, Roscommon,158095,276963,14,5,5,8,6,3,3,2,4,8,3,1,0,0,0,0,0,0,0,2,0,0,0,0,8,5,11,6,3,5,8,14,14,18,6,16,1,1,2,1,3,0,1,2,1,3,1,2,0,0,2,1,0,1,12,8,4,20,8,7,9,7,2,6,3,6,0,0,1,1,0,1
20530,Boyle, Roscommon,180337,302706,23,18,20,14,20,16,10,1,15,6,3,5,0,0,0,0,0,1,0,0,1,0,1,1,13,25,24,13,22,24,57,62,44,53,45,43,4,5,2,3,8,3,9,10,11,2,9,12,2,0,1,0,0,2,17,19,27,19,17,13,44,31,31,18,25,20,1,1,3,1,0,3
20537,Castlerea, Roscommon,168128,279762,28,33,40,40,97,125,16,15,10,8,8,14,0,1,0,0,0,0,1,0,0,0,0,2,12,10,17,35,27,17,42,49,25,41,52,57,3,5,7,4,7,2,28,34,12,25,36,20,4,3,1,3,4,3,18,21,15,15,29,16,24,32,30,26,45,37,10,15,19,31,35,22
20528,Clonark, Roscommon,197742,235330,4,1,5,1,4,1,2,4,9,2,2,3,0,0,0,0,0,0,0,1,0,0,2,1,8,4,15,4,10,7,22,22,28,16,20,9,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,9,8,8,1,6,7,7,2,5,6,1,5,1,1,1,0,0,3
20533,Elphin, Roscommon,187380,288484,1,0,3,4,5,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,12,4,5,9,4,7,7,8,4,9,3,1,4,1,1,1,0,4,2,1,0,0,0,0,0,0,0,0,4,2,6,5,2,0,5,5,3,3,2,2,0,2,1,0,0,0
20534,Frenchpark, Roscommon,173367,291150,4,3,6,2,2,8,3,7,1,2,0,2,0,0,0,0,0,0,0,2,0,0,1,0,7,5,9,5,12,15,15,6,14,12,11,15,2,0,1,2,2,1,1,0,0,0,6,3,1,0,0,0,0,2,7,15,2,2,5,19,3,5,11,4,0,15,0,1,0,0,1,0
20535,Keadue, Roscommon,191056,311275,4,2,2,2,4,0,0,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,4,2,2,14,12,10,10,9,13,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,2,2,0,4,1,7,5,1,0,0,0,2,1,0,0,0,0,1
20611,Roosky, Roscommon,205130,287028,3,6,2,3,2,3,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,18,10,5,16,12,12,24,19,8,12,1,1,0,1,0,1,2,1,2,4,1,2,0,0,0,0,0,0,1,6,4,6,4,4,3,3,1,0,0,3,0,0,0,1,0,0
20514,Roscommon, Roscommon,187242,264445,44,36,47,42,51,44,33,30,39,43,37,28,0,0,0,0,0,0,1,0,0,1,0,2,44,39,37,43,35,33,136,152,162,118,102,146,19,10,28,18,19,14,25,22,27,38,21,30,2,3,4,1,2,4,57,52,36,36,37,26,126,87,92,83,73,70,15,6,16,6,12,20
20517,Strokestown, Roscommon,193205,281231,5,8,3,5,2,6,1,5,4,4,3,3,0,0,0,1,0,0,0,0,0,0,1,0,3,9,20,10,4,7,8,5,12,12,14,7,3,0,1,3,3,1,4,11,2,3,1,2,1,0,0,1,1,0,8,12,3,9,7,5,15,4,4,5,3,4,3,5,3,0,1,0
20527,Taughmaconnell, Roscommon,190668,239214,0,2,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,1,0,1,5,3,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0
20536,Tulsk, Roscommon,183447,280886,4,2,2,3,3,0,2,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,5,2,4,6,10,15,11,3,6,3,1,1,2,2,0,0,5,7,0,0,0,0,0,0,0,0,0,1,3,1,6,2,3,1,3,2,1,0,2,0,0,0,2,2,0
20599,Ballymote, Sligo,166332,315483,19,9,9,12,12,12,10,7,4,7,8,4,0,0,1,0,0,0,0,0,0,3,0,0,7,11,7,22,10,14,39,35,33,32,23,10,12,3,6,0,1,0,8,13,6,13,7,8,11,6,0,2,3,0,28,23,15,24,18,13,35,56,18,36,18,13,4,5,3,3,12,1
20593,Collooney, Sligo,168198,326384,6,10,10,9,8,14,14,21,14,13,7,10,0,0,0,0,0,0,2,0,2,0,0,0,8,12,13,7,14,23,23,25,19,42,27,20,3,6,3,3,9,2,14,8,10,3,3,9,0,3,0,2,0,1,19,10,19,36,19,19,25,17,30,23,12,12,3,2,1,1,2,7
20595,Coolaney, Sligo,160644,324983,5,3,3,7,2,3,4,1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,8,5,5,4,8,9,6,9,8,3,0,0,2,0,0,0,6,6,8,0,2,3,2,0,0,0,1,0,7,3,16,7,1,7,4,4,8,13,2,0,0,0,0,3,3,1
20564,Enniscrone, Sligo,129034,329979.01,6,7,9,15,13,18,10,9,7,6,10,8,0,0,0,0,0,0,0,0,1,1,0,1,11,17,33,18,22,11,15,16,19,19,31,9,4,3,3,4,1,1,1,4,2,3,3,3,0,1,0,2,0,0,10,9,16,18,15,12,22,21,10,14,9,12,0,1,0,1,1,1
20598,Grange, Sligo,166222,349540,7,7,3,2,5,4,12,1,4,7,3,5,0,0,0,0,0,0,1,0,0,0,0,0,10,17,23,13,17,12,21,34,32,30,21,22,2,1,0,5,2,0,1,8,7,3,0,2,1,1,2,0,0,0,21,15,15,19,14,23,6,7,7,7,7,1,0,2,4,3,1,2
20601,Gurteen, Sligo,166216,304969,3,7,6,3,1,4,2,2,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,10,4,8,3,4,8,20,20,24,14,11,12,2,2,3,1,1,0,1,8,1,11,6,0,0,0,0,0,1,0,13,5,16,3,4,3,8,5,3,6,5,1,2,0,0,0,1,1
20602,Riverstown, Sligo,173899,320125,3,1,5,2,1,2,8,9,3,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,12,12,10,9,3,14,17,21,15,20,11,6,3,3,0,1,4,6,1,4,1,5,2,2,0,0,1,1,0,1,4,4,7,4,3,3,9,5,2,1,3,1,2,1,0,1,0,0
20597,Rosses Point, Sligo,164470,339757,5,1,2,5,2,0,5,5,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,3,5,5,8,10,14,20,8,9,1,1,0,2,1,0,0,3,0,3,2,0,3,0,2,0,0,0,1,5,3,5,1,3,3,1,2,1,1,1,0,1,0,0,0,0
20594,Skreen, Sligo,153084,333095,1,0,1,2,0,1,2,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,0,9,6,3,5,6,5,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,4,1,2,2,2,2,1,0,0,0,2,1,0,0,0,1,2,0
20592,Sligo, Sligo,169344,335702,167,142,115,100,139,122,84,75,64,47,44,46,1,1,0,0,1,4,8,8,7,6,5,12,102,135,133,145,136,104,522,437,428,459,386,318,42,54,33,41,30,59,128,195,151,113,103,94,41,26,23,37,36,27,387,309,278,277,281,264,508,437,494,432,378,332,78,48,36,62,77,120
20600,Tubbercurry, Sligo,151957,311618,11,18,19,24,17,34,9,9,5,2,8,13,0,0,0,0,0,0,1,0,2,0,1,0,22,16,35,28,31,23,31,39,30,33,40,36,7,1,5,5,1,4,1,8,20,8,7,6,4,2,5,1,2,1,31,20,29,33,21,30,22,30,28,26,18,26,2,2,8,6,6,19
20259,Ardfinnan, Tipperary ,208349,117754,2,11,4,3,3,3,2,1,2,1,5,3,0,0,0,0,0,0,0,0,1,0,0,0,3,20,8,8,7,4,5,7,20,11,11,7,0,0,1,2,1,0,6,10,8,3,4,0,1,3,0,0,0,1,15,8,15,1,7,7,2,6,3,5,0,0,0,3,0,2,0,3
20266,Ballingarry North, Tipperary ,198005,196372,3,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,1,1,4,0,1,4,2,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,4,1,0,0,0,0,0,0,1,0,0,0
20244,Ballingarry South, Tipperary ,231163,148351,1,6,3,0,0,4,3,3,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,15,8,9,1,7,3,29,12,7,5,10,6,1,0,0,0,1,2,2,3,3,1,4,2,0,1,0,0,0,0,3,5,3,4,5,7,2,4,2,4,1,2,0,0,0,0,0,0
20260,Ballyporeen, Tipperary ,193377,113119,1,4,3,4,5,2,6,3,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,12,7,8,5,5,2,7,6,7,6,6,2,1,0,0,0,0,2,1,1,1,2,0,1,0,1,0,0,0,6,8,2,2,4,0,7,13,4,2,4,2,1,2,0,2,0,0
20285,Bansha, Tipperary ,195590,133041,3,3,4,4,1,4,4,3,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,11,9,5,5,3,16,8,12,14,14,7,1,0,1,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,9,4,3,1,4,5,1,2,2,7,3,3,1,1,0,1,2,0
20265,Borrisokane, Tipperary ,191521,194016,6,4,4,3,7,2,7,6,3,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,9,6,12,15,13,12,17,18,14,3,0,1,2,0,1,4,3,2,3,4,0,1,0,0,0,0,0,8,9,7,6,8,8,7,11,10,6,4,3,3,2,6,1,1,0
20277,Borrisoleigh, Tipperary ,203063,166674,3,3,5,3,3,9,6,3,4,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,3,10,8,10,9,9,5,11,19,21,16,11,3,1,2,0,2,0,2,2,0,0,1,2,0,0,0,0,0,1,4,6,6,6,5,6,2,4,4,3,2,14,0,1,1,0,0,1
20258,Cahir, Tipperary ,205478,124887,22,35,23,24,24,17,43,28,20,21,25,23,0,1,1,1,0,0,2,0,1,0,1,0,23,35,28,36,35,18,47,35,64,71,36,43,6,8,5,1,4,5,31,14,11,12,17,16,8,6,2,2,2,2,37,36,15,34,23,29,68,56,50,36,35,29,4,4,4,3,6,4
20284,Cappawhite, Tipperary ,188876,147953,10,2,9,4,4,5,12,7,3,3,5,1,0,0,0,0,0,0,1,0,0,1,0,0,11,22,14,15,9,5,29,32,30,31,22,13,1,1,1,0,2,1,9,15,4,2,3,2,4,2,3,1,0,2,12,19,15,8,3,7,6,3,14,4,1,3,0,0,0,1,0,2
