id,Station,s,x,y,"Attempts or threats to murder, assaults, harassments and related offences 2010","Attempts or threats to murder, assaults, harassments and related offences 2011","Attempts or threats to murder, assaults, harassments and related offences 2012","Attempts or threats to murder, assaults, harassments and related offences 2013","Attempts or threats to murder, assaults, harassments and related offences 2014","Attempts or threats to murder, assaults, harassments and related offences 2015",Dangerous or negligent acts 2010,Dangerous or negligent acts 2011,Dangerous or negligent acts 2012,Dangerous or negligent acts 2013,Dangerous or negligent acts 2014,Dangerous or negligent acts 2015,Kidnapping and related offences 2010,Kidnapping and related offences 2011,Kidnapping and related offences 2012,Kidnapping and related offences 2013,Kidnapping and related offences 2014,Kidnapping and related offences 2015,"Robbery, extortion and hijacking offences 2010","Robbery, extortion and hijacking offences 2011","Robbery, extortion and hijacking offences 2012","Robbery, extortion and hijacking offences 2013","Robbery, extortion and hijacking offences 2014","Robbery, extortion and hijacking offences 2015",Burglary and related offences 2010,Burglary and related offences 2011,Burglary and related offences 2012,Burglary and related offences 2013,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2010,Theft and related offences 2011,Theft and related offences 2012,Theft and related offences 2013,Theft and related offences 2014,Theft and related offences 2015,"Fraud, deception and related offences 2010","Fraud, deception and related offences 2011","Fraud, deception and related offences 2012","Fraud, deception and related offences 2013","Fraud, deception and related offences 2014","Fraud, deception and related offences 2015",Controlled drug offences 2010,Controlled drug offences 2011,Controlled drug offences 2012,Controlled drug offences 2013,Controlled drug offences 2014,Controlled drug offences 2015,Weapons and Explosives Offences 2010,Weapons and Explosives Offences 2011,Weapons and Explosives Offences 2012,Weapons and Explosives Offences 2013,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2010,Damage to property and to the environment 2011,Damage to property and to the environment 2012,Damage to property and to the environment 2013,Damage to property and to the environment 2014,Damage to property and to the environment 2015,Public order and other social code offences 2010,Public order and other social code offences 2011,Public order and other social code offences 2012,Public order and other social code offences 2013,Public order and other social code offences 2014,Public order and other social code offences 2015,"Offences against government, justice procedures and organisation of crime 2010","Offences against government, justice procedures and organisation of crime 2011","Offences against government, justice procedures and organisation of crime 2012","Offences against government, justice procedures and organisation of crime 2013","Offences against government, justice procedures and organisation of crime 2014","Offences against government, justice procedures and organisation of crime 2015"
2095,Ballymahon, Longford ,215897,256827,18,28,20,16,21,15,10,4,2,5,8,13,0,0,0,1,0,0,0,1,0,1,0,0,39,36,36,38,32,26,45,56,56,31,30,24,2,0,0,4,5,2,4,6,1,4,15,8,1,1,1,3,3,3,32,46,37,22,39,27,40,30,24,39,39,24,1,1,2,0,3,1
2097,Drumlish, Longford ,215464,285808,7,6,10,6,13,13,11,5,6,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,16,6,9,3,5,7,23,12,5,5,11,18,1,1,2,1,2,1,1,3,4,2,2,2,1,0,0,0,0,1,9,8,9,15,9,5,20,10,7,11,13,11,2,2,0,5,1,2
20105,Edgeworthstown, Longford ,226076,271817,24,21,19,20,30,36,17,9,14,19,13,10,1,0,1,0,1,1,1,3,0,3,1,2,43,56,40,66,50,20,70,68,47,58,47,41,4,9,9,4,2,4,4,9,13,20,17,28,6,5,3,4,1,9,39,43,28,52,47,46,29,30,30,21,34,24,3,4,1,1,4,7
20103,Granard, Longford ,233393,281099,22,22,9,11,19,26,15,13,10,10,10,14,0,0,0,0,0,0,1,1,2,0,0,1,52,31,27,29,36,26,59,39,43,48,39,27,1,7,5,4,5,6,15,6,4,7,7,6,0,1,3,2,6,1,30,19,26,27,33,32,33,27,15,14,16,25,5,3,2,3,0,3
2098,Kenagh, Longford ,212284,263566,9,5,4,6,1,4,4,4,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,11,14,7,5,4,5,19,15,15,14,13,14,1,1,1,0,1,2,3,2,2,1,2,1,2,0,0,0,1,0,14,9,13,9,1,6,4,2,1,0,1,0,0,0,0,0,3,1
20101,Lanesboro, Longford ,201022,269010,5,9,8,7,7,12,2,3,3,1,2,6,0,0,0,0,0,0,0,1,0,0,0,2,11,9,12,9,19,12,20,30,33,24,17,16,3,4,5,5,2,1,0,1,3,5,4,3,1,0,0,0,0,0,19,18,18,4,13,5,14,13,8,6,6,12,0,0,0,0,0,0
2096,Longford, Longford ,213158,275874,108,76,62,86,71,77,74,54,43,51,47,37,0,0,1,2,2,0,10,1,2,12,3,9,120,97,153,139,93,106,269,244,254,294,224,258,36,32,35,31,31,24,63,91,87,94,82,68,15,22,13,17,8,14,160,144,135,107,96,129,226,227,199,209,147,112,47,43,32,35,44,34
20106,Smear, Longford ,226257,290182,5,4,5,3,2,1,0,2,1,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,16,17,0,5,6,4,7,8,3,6,8,3,0,1,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,5,4,3,3,4,3,2,7,4,0,0,3,0,0,0,0,0,0
2079,Ardee, Louth ,296047,290467,41,43,31,27,30,26,23,18,13,11,18,13,3,0,0,0,1,1,2,5,3,3,0,5,65,77,66,73,69,60,130,123,109,79,88,104,11,7,19,15,9,11,15,9,12,9,3,4,11,3,2,1,1,2,86,101,55,55,54,54,59,36,24,35,22,22,8,4,12,15,6,11
20703,Blackrock, Louth ,307145,302828,19,7,15,19,15,7,9,4,5,4,6,6,0,0,0,0,0,0,2,1,2,0,0,2,22,39,34,47,44,44,72,55,67,95,64,82,6,2,5,4,3,2,5,15,5,2,3,2,2,0,0,2,1,2,33,31,40,44,34,24,27,27,24,15,17,18,2,0,1,0,1,1
2053,Carlingford, Louth ,318804,311739,17,13,14,8,11,15,9,3,6,3,4,4,0,0,0,0,0,0,1,0,2,1,1,1,26,10,19,25,10,22,70,40,41,61,50,39,2,1,2,3,2,1,4,3,3,2,2,1,0,1,0,0,1,1,42,45,18,28,25,21,20,23,18,13,22,34,1,3,1,0,2,1
2048,Castlebellingham, Louth ,305884,295618,16,12,11,5,12,13,10,7,5,7,11,6,0,0,0,0,1,1,1,2,0,2,1,2,38,37,42,46,61,50,86,107,97,86,108,148,2,2,4,5,2,3,7,6,1,2,4,5,2,0,1,1,1,0,50,33,31,22,24,35,11,8,6,17,8,9,0,1,2,0,1,4
2049,Clogherhead, Louth ,315864,283734,11,7,9,13,11,5,4,5,2,2,4,1,0,1,0,0,0,0,1,1,0,0,0,1,18,25,19,27,24,26,52,48,42,38,96,29,0,0,0,0,3,0,11,4,3,4,3,4,4,2,1,1,1,0,25,23,19,36,39,10,13,10,8,3,11,3,1,1,1,6,5,0
2080,Collon, Louth ,299931,281968,3,3,3,5,5,3,4,2,2,2,3,2,0,0,0,0,0,0,1,0,0,0,1,0,14,22,16,15,10,12,43,28,29,13,15,10,0,1,0,0,2,1,0,2,0,2,1,0,0,1,1,0,0,0,13,8,19,7,0,5,1,3,4,2,2,1,0,0,1,2,0,0
2047,Drogheda, Louth ,308547,275168,166,156,174,163,227,200,123,111,78,58,50,49,2,2,0,2,0,2,30,14,35,33,25,36,336,315,485,442,353,383,759,686,743,598,689,790,57,55,106,45,42,75,263,201,224,165,190,140,45,35,29,44,26,17,439,423,409,388,351,404,769,505,488,369,366,266,90,60,67,89,77,104
2055,Drumad, Louth ,307291.36,317522.13,7,10,9,9,7,6,3,6,2,2,4,6,0,0,0,0,0,0,0,0,2,3,0,1,20,20,13,17,19,29,71,47,52,71,44,46,2,6,2,1,2,2,3,0,3,4,1,2,8,5,11,1,1,1,22,25,28,25,38,23,6,6,6,7,2,5,3,1,3,1,0,1
